N;Grupo;Animal;Dosagem;PA_mmHg;Desvio_PA;Ptr_cmH2O;Desvio_Ptr;Perturbacao
225;SHR 17 Semanas Tratados;3;100 ug/kg;6,791,444,444;1,229,389,563;3,701,848,172;0.761141421;15
226;SHR 17 Semanas Tratados;4;PBS;6,721,446,802;8,846,215,328;3,162,659,791;0.661519867;1
227;SHR 17 Semanas Tratados;4;PBS;8,339,644,324;1,038,908,419;3,147,778,982;0.655997099;2
228;SHR 17 Semanas Tratados;4;PBS;8,225,789,433;104,366,275;3,114,866,057;0.659422227;3
229;SHR 17 Semanas Tratados;4;PBS;8,734,798,049;1,006,378,773;314,738,564;0.670426529;4
230;SHR 17 Semanas Tratados;4;PBS;8,618,677;1,043,597,735;3,160,253,655;0.669564479;5
231;SHR 17 Semanas Tratados;4;PBS;88,902,745;9,733,774,005;3,141,672,454;0.670839054;6
232;SHR 17 Semanas Tratados;4;PBS;8,905,535,354;1,027,369,936;3,174,507,572;0.67724065;7
233;SHR 17 Semanas Tratados;4;PBS;91,034;9,913,617,306;3,145,109,922;0.676904766;8
234;SHR 17 Semanas Tratados;4;PBS;903,296;1,031,368,806;3,144,414,621;0.669188884;9
235;SHR 17 Semanas Tratados;4;PBS;918,303;1,061,997,113;3,110,861,749;0.673922603;10
236;SHR 17 Semanas Tratados;4;PBS;885,992;1,019,360,739;315,540,705;0.67502149;11
237;SHR 17 Semanas Tratados;4;PBS;912,681;1,008,447,689;314,688,799;0.66795915;12
238;SHR 17 Semanas Tratados;4;PBS;8,892,326,316;107,875,073;308,572,141;0.677300671;13
239;SHR 17 Semanas Tratados;4;PBS;9,007,194,876;100,584,281;3,171,552,089;0.678609341;14
240;SHR 17 Semanas Tratados;4;PBS;8,581,442,796;9,506,869,731;3,135,427,676;0.677841609;15
241;SHR 17 Semanas Tratados;4;3 ug/kg;616,474;1,320,475,065;3,103,775,457;0.704876949;1
